time=    0, Simulation Start
time=    0, Starting Reset
time=   30, Reset Completed
time=   30, Starting Test mode 11 random entries
Time=35 Error dut: load=x, rco=x, Q=xxxx, scoreboard: load=x, rco=x , Q=xxxx 
time= 1320, Test mode 10 static entries completed 
time= 1350, Starting Test: High Impedance
Time=1375 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1385 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1395 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1405 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1415 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1425 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1435 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1445 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1455 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1465 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1475 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1485 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1495 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1505 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1515 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1525 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1535 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1545 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1555 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1565 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1575 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1585 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1595 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1605 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1615 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1625 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1635 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1645 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
time= 1650, Test High Impedance completed 
time= 1680, Starting Test: Reset
Time=1685 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1695 Error dut: load=0, rco=1, Q=1111, scoreboard: load=z, rco=z , Q=zzzz 
Time=1705 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1715 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1725 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1735 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1745 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1755 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1765 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1775 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1785 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1795 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1805 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1815 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1825 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1835 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1845 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1855 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
Time=1865 Error dut: load=0, rco=1, Q=0000, scoreboard: load=0, rco=0 , Q=0000 
