time=    0, Simulation Start
time=    0, Starting Reset
time=  240, Reset Completed
time=  240, Starting Test mode 00
Time=2180 Error dut: load=x, rco=z, Q=00000000000000000000000000101111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=2220 Error dut: load=x, rco=z, Q=00000000000000000000000000110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=2260 Error dut: load=x, rco=z, Q=00000000000000000000000000110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=2300 Error dut: load=x, rco=z, Q=00000000000000000000000000110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=2340 Error dut: load=x, rco=z, Q=00000000000000000000000000110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=2380 Error dut: load=x, rco=z, Q=00000000000000000000000000110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=2420 Error dut: load=x, rco=z, Q=00000000000000000000000000110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=2460 Error dut: load=x, rco=z, Q=00000000000000000000000000110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=2500 Error dut: load=x, rco=z, Q=00000000000000000000000000110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=2540 Error dut: load=x, rco=z, Q=00000000000000000000000000111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=2580 Error dut: load=x, rco=z, Q=00000000000000000000000000111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=2620 Error dut: load=x, rco=z, Q=00000000000000000000000000111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=2660 Error dut: load=x, rco=z, Q=00000000000000000000000000111011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=2700 Error dut: load=x, rco=z, Q=00000000000000000000000000111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=2740 Error dut: load=x, rco=z, Q=00000000000000000000000000111101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=2780 Error dut: load=x, rco=z, Q=00000000000000000000000000111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=2820 Error dut: load=x, rco=z, Q=00000000000000000000000000111111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=2860 Error dut: load=x, rco=z, Q=00000000000000000000000001000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=2900 Error dut: load=x, rco=z, Q=00000000000000000000000001000001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=2940 Error dut: load=x, rco=z, Q=00000000000000000000000001000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=2980 Error dut: load=x, rco=z, Q=00000000000000000000000001000011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=3020 Error dut: load=x, rco=z, Q=00000000000000000000000001000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=3060 Error dut: load=x, rco=z, Q=00000000000000000000000001000101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=3100 Error dut: load=x, rco=z, Q=00000000000000000000000001000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=3140 Error dut: load=x, rco=z, Q=00000000000000000000000001000111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=3180 Error dut: load=x, rco=z, Q=00000000000000000000000001001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=3220 Error dut: load=x, rco=z, Q=00000000000000000000000001001001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=3260 Error dut: load=x, rco=z, Q=00000000000000000000000001001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=3300 Error dut: load=x, rco=z, Q=00000000000000000000000001001011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=3340 Error dut: load=x, rco=z, Q=00000000000000000000000001001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=3380 Error dut: load=x, rco=z, Q=00000000000000000000000001001101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=3420 Error dut: load=x, rco=z, Q=00000000000000000000000001001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=3460 Error dut: load=x, rco=z, Q=00000000000000000000000001001111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=3500 Error dut: load=x, rco=z, Q=00000000000000000000000001010001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=3540 Error dut: load=x, rco=z, Q=00000000000000000000000001010001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=3580 Error dut: load=x, rco=z, Q=00000000000000000000000001010011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=3620 Error dut: load=x, rco=z, Q=00000000000000000000000001010011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=3660 Error dut: load=x, rco=z, Q=00000000000000000000000001010101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=3700 Error dut: load=x, rco=z, Q=00000000000000000000000001010101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=3740 Error dut: load=x, rco=z, Q=00000000000000000000000001010111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=3780 Error dut: load=x, rco=z, Q=00000000000000000000000001010111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=3820 Error dut: load=x, rco=z, Q=00000000000000000000000001011001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=3860 Error dut: load=x, rco=z, Q=00000000000000000000000001011001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=3900 Error dut: load=x, rco=z, Q=00000000000000000000000001011011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=3940 Error dut: load=x, rco=z, Q=00000000000000000000000001011011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=3980 Error dut: load=x, rco=z, Q=00000000000000000000000001011101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=4020 Error dut: load=x, rco=z, Q=00000000000000000000000001011101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=4060 Error dut: load=x, rco=z, Q=00000000000000000000000001011111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=4100 Error dut: load=x, rco=z, Q=00000000000000000000000001011111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=4140 Error dut: load=x, rco=z, Q=00000000000000000000000001100001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=4180 Error dut: load=x, rco=z, Q=00000000000000000000000001100001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=4220 Error dut: load=x, rco=z, Q=00000000000000000000000001100011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=4260 Error dut: load=x, rco=z, Q=00000000000000000000000001100011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=4300 Error dut: load=x, rco=z, Q=00000000000000000000000001100101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=4340 Error dut: load=x, rco=z, Q=00000000000000000000000001100101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=4380 Error dut: load=x, rco=z, Q=00000000000000000000000001100111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=4420 Error dut: load=x, rco=z, Q=00000000000000000000000001100111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=4460 Error dut: load=x, rco=z, Q=00000000000000000000000001101001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=4500 Error dut: load=x, rco=z, Q=00000000000000000000000001101001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=4540 Error dut: load=x, rco=z, Q=00000000000000000000000001101011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=4580 Error dut: load=x, rco=z, Q=00000000000000000000000001101011, scoreboard: load=x, rco=x , Q=10110000000000000000000000000000 
Time=4620 Error dut: load=x, rco=z, Q=00000000000000000000000001101101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=4660 Error dut: load=x, rco=z, Q=00000000000000000000000001101101, scoreboard: load=x, rco=x , Q=11010000000000000000000000000000 
Time=4700 Error dut: load=x, rco=z, Q=00000000000000000000000001101111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=4740 Error dut: load=x, rco=z, Q=00000000000000000000000001101111, scoreboard: load=x, rco=x , Q=11110000000000000000000000000000 
Time=4780 Error dut: load=x, rco=z, Q=00000000000000000000000001110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=4820 Error dut: load=x, rco=z, Q=00000000000000000000000001110001, scoreboard: load=x, rco=x , Q=00010000000000000000000000000000 
Time=4860 Error dut: load=x, rco=z, Q=00000000000000000000000001110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=4900 Error dut: load=x, rco=z, Q=00000000000000000000000001110011, scoreboard: load=x, rco=x , Q=00110000000000000000000000000000 
Time=4940 Error dut: load=x, rco=z, Q=00000000000000000000000001110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=4980 Error dut: load=x, rco=z, Q=00000000000000000000000001110101, scoreboard: load=x, rco=x , Q=01010000000000000000000000000000 
Time=5020 Error dut: load=x, rco=z, Q=00000000000000000000000001110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=5060 Error dut: load=x, rco=z, Q=00000000000000000000000001110111, scoreboard: load=x, rco=x , Q=01110000000000000000000000000000 
Time=5100 Error dut: load=x, rco=z, Q=00000000000000000000000001111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
Time=5140 Error dut: load=x, rco=z, Q=00000000000000000000000001111001, scoreboard: load=x, rco=x , Q=10010000000000000000000000000000 
